变量,2016H1,2016H2,2017H1,2017H2,2018H1,2018H2,最大最小差
mths_since_last_delinq,0.4754,0.4606,0.4814,0.5143,0.5535,0.5486,0.0929
mths_since_last_record,0.8138,0.7971,0.8035,0.8487,0.8683,0.8786,0.0815
mths_since_recent_revol_delinq,0.6369,0.6295,0.6448,0.6718,0.7054,0.7013,0.0759
mths_since_last_major_derog,0.7112,0.7009,0.7185,0.7367,0.7629,0.7615,0.062
mths_since_recent_bc_dlq,0.7441,0.7386,0.7557,0.7739,0.7974,0.7954,0.0588
il_util,0.1451,0.136,0.1379,0.1553,0.1752,0.1678,0.0392
num_tl_120dpd_2m,0.0493,0.0401,0.0445,0.046,0.0241,0.0223,0.027
emp_length_num,0.0752,0.0699,0.0746,0.0828,0.0893,0.0927,0.0228
mths_since_recent_inq,0.1066,0.1111,0.1182,0.1226,0.1252,0.1261,0.0195
mo_sin_old_il_acct,0.0321,0.0301,0.0295,0.0374,0.0441,0.0415,0.0146
mths_since_rcnt_il,0.0323,0.0301,0.0295,0.0374,0.0441,0.0415,0.0146
bc_open_to_buy,0.0102,0.0131,0.0114,0.016,0.0141,0.0138,0.0058
percent_bc_gt_75,0.0104,0.0132,0.0114,0.016,0.0141,0.0138,0.0056
bc_util,0.0108,0.0136,0.0118,0.0164,0.0146,0.0143,0.0056
mths_since_recent_bc,0.0096,0.0124,0.0109,0.015,0.0132,0.013,0.0054
dti,0.0001,0.0001,0.0004,0.0014,0.002,0.0018,0.0019
revol_util,0.0006,0.0008,0.0007,0.0014,0.0013,0.0012,0.0008
open_rv_12m,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003
total_cu_tl,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003
inq_fi,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003
inq_last_12m,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003
open_act_il,0.0003,0.0,0.0,0.0,0.0,0.0,0.0003
