issue_dt,14个晚采集字段的平均缺失率
2016-01,0.0143
2016-02,0.0122
2016-03,0.0129
2016-04,0.0129
2016-05,0.0126
2016-06,0.0126
2016-07,0.0124
2016-08,0.0129
2016-09,0.0127
2016-10,0.0107
2016-11,0.0111
2016-12,0.0114
2017-01,0.0119
2017-02,0.0124
2017-03,0.0128
2017-04,0.0117
2017-05,0.0115
2017-06,0.0115
2017-07,0.012
2017-08,0.0127
2017-09,0.0137
2017-10,0.0145
2017-11,0.0147
2017-12,0.0153
2018-01,0.0152
2018-02,0.0159
2018-03,0.0159
2018-04,0.0152
2018-05,0.016
2018-06,0.0158
2018-07,0.0147
2018-08,0.0152
2018-09,0.0149
2018-10,0.0155
2018-11,0.0151
2018-12,0.0145
