bin,total,bad,good,bad_rate,woe,iv_part,var,share,iv,monotonic,类型
0,60890,4568,56322,0.07502052882246674,-0.10948744599269447,0.002908578365480098,loan_amnt,0.25395488119716225,0.007119352007585202,True,数值
1,124318,10414,113904,0.0837690439035377,0.010317370615695846,5.5430832532359224e-05,loan_amnt,0.5184950389336314,0.007119352007585202,True,数值
2,36809,3108,33701,0.08443587166182184,0.018974226233338783,5.570955644782261e-05,loan_amnt,0.15351987554584243,0.007119352007585202,True,数值
3,17750,1806,15944,0.10174647887323944,0.2245541763208063,0.004099633253124922,loan_amnt,0.07403020432336394,0.007119352007585202,True,数值
0,20492,2254,18238,0.10999414405621706,0.31172139034261687,0.009457772018325424,annual_inc,0.08546630687292246,0.03172650037599437,True,数值
1,18584,1895,16689,0.10196943607404219,0.22699132300962993,0.004390392945295268,annual_inc,0.07750858124762791,0.03172650037599437,True,数值
2,32980,3036,29944,0.09205579138872044,0.11373419316776177,0.0018657570043249605,annual_inc,0.13755020499067844,0.03172650037599437,True,数值
3,54443,4662,49781,0.08563084326727036,0.034333459723483395,0.0002715235786645697,annual_inc,0.22706627684376915,0.03172650037599437,True,数值
4,69386,5243,64143,0.07556279364713343,-0.10169880802905118,0.002868907638858942,annual_inc,0.2893892820947003,0.03172650037599437,True,数值
5,43882,2806,41076,0.06394421402853107,-0.2811417234192732,0.012872147190525205,annual_inc,0.18301934795030175,0.03172650037599437,True,数值
-1,33,1,32,0.030303030303030304,-1.0632135985632203,0.00010130142415770395,dti,0.000137633619305409,0.0646353633885418,True,数值
0,91763,5913,85850,0.06443773634253458,-0.2729259662682854,0.025453295563422313,dti,0.38271738813097717,0.0646353633885418,True,数值
1,65461,5116,60345,0.0781534043170743,-0.06518290611675882,0.001128920533083789,dti,0.2730192228288297,0.0646353633885418,True,数值
2,23191,2158,21033,0.0930533396576258,0.1256115381795089,0.0016082516895875585,dti,0.0967230686458103,0.0646353633885418,True,数值
3,26902,2790,24112,0.103709761356033,0.2458542581856406,0.007514508022564738,dti,0.11220059474406403,0.0646353633885418,True,数值
4,20190,2332,17858,0.11550272412085191,0.36679698562972735,0.013200707117753467,dti,0.08420675072049115,0.0646353633885418,True,数值
5,12227,1586,10641,0.12971293039993456,0.499022962989568,0.01562837903797223,dti,0.0509953413105223,0.0646353633885418,True,数值
0,188182,15471,172711,0.08221296404544537,-0.010130069418317322,8.020086093541436e-05,delinq_2yrs,0.7848536287312265,0.0008271965826995747,True,数值
1,33597,2793,30804,0.08313242253772658,0.0019940395225421653,5.576218193507287e-07,delinq_2yrs,0.14012353660011595,0.0008271965826995747,True,数值
2,17988,1632,16356,0.09072715143428953,0.09773375827602547,0.0007464380999448096,delinq_2yrs,0.07502283466865749,0.0008271965826995747,True,数值
0,85715,9179,76536,0.10708744093799219,0.2816793520975938,0.03190131208197557,fico_range_low,0.35749289935645856,0.10507727825640513,True,数值
1,49808,4468,45340,0.08970446514616126,0.08527354036407754,0.0015652749762680202,fico_range_low,0.20773500940496398,0.10507727825640513,True,数值
2,37617,2807,34810,0.07462051731929713,-0.11526610020709592,0.0019867807910565745,fico_range_low,0.15688981386095668,0.10507727825640513,True,数值
3,26642,1645,24997,0.06174461376773516,-0.31849312921378337,0.009876298336427936,fico_range_low,0.11111620865256687,0.10507727825640513,True,数值
4,21794,1147,20647,0.05262916399008902,-0.4878978880190026,0.01768887632915081,fico_range_low,0.09089657876188133,0.10507727825640513,True,数值
5,18191,650,17541,0.035731955362541916,-0.8928016097175913,0.042058735741526215,fico_range_low,0.07586948996317258,0.10507727825640513,True,数值
0,85715,9179,76536,0.10708744093799219,0.2816793520975938,0.03190131208197557,fico_range_high,0.35749289935645856,0.10507727825640513,True,数值
1,49808,4468,45340,0.08970446514616126,0.08527354036407754,0.0015652749762680202,fico_range_high,0.20773500940496398,0.10507727825640513,True,数值
2,37617,2807,34810,0.07462051731929713,-0.11526610020709592,0.0019867807910565745,fico_range_high,0.15688981386095668,0.10507727825640513,True,数值
3,26642,1645,24997,0.06174461376773516,-0.31849312921378337,0.009876298336427936,fico_range_high,0.11111620865256687,0.10507727825640513,True,数值
4,21794,1147,20647,0.05262916399008902,-0.4878978880190026,0.01768887632915081,fico_range_high,0.09089657876188133,0.10507727825640513,True,数值
5,18191,650,17541,0.035731955362541916,-0.8928016097175913,0.042058735741526215,fico_range_high,0.07586948996317258,0.10507727825640513,True,数值
0,147754,10373,137381,0.07020452914980305,-0.1810295071529703,0.018730107210571754,inq_last_6mths,0.616239932934891,0.05377013956273684,True,数值
1,62482,5850,56632,0.09362696456579495,0.13238976900838323,0.004826896491231248,inq_last_6mths,0.2605946606497141,0.05377013956273684,True,数值
2,29531,3673,25858,0.12437777251024347,0.45091104024167483,0.030213135860933833,inq_last_6mths,0.12316540641539495,0.05377013956273684,True,数值
-1,112367,9192,103175,0.08180337643614229,-0.015570730855684898,0.0001128879970826201,mths_since_last_delinq,0.4686508151663907,0.0007243061353310481,True,数值
0,13895,1242,12653,0.08938467074487226,0.0813509465406667,0.00039676710670711007,mths_since_last_delinq,0.05795209515905025,0.0007243061353310481,True,数值
1,63947,5414,58533,0.08466386226093484,0.0219197976727441,0.00012932260147548532,mths_since_last_delinq,0.26670475920372694,0.0007243061353310481,True,数值
2,34085,2803,31282,0.08223558750183366,-0.00983027583289239,1.3681228601116123e-05,mths_since_last_delinq,0.1421588458795414,0.0007243061353310481,True,数值
3,15473,1245,14228,0.08046274154979642,-0.03355401993303164,7.164720146471648e-05,mths_since_last_delinq,0.06453348459129071,0.0007243061353310481,True,数值
-1,193288,15418,177870,0.07976697984354952,-0.04299498411380954,0.0014637521545473892,mths_since_last_record,0.8061493032819362,0.008836201438500352,True,数值
0,31840,2891,28949,0.09079773869346734,0.09858910616264538,0.0013449548241661142,mths_since_last_record,0.13279558905103706,0.008836201438500352,True,数值
1,14639,1587,13052,0.10840904433362934,0.29542636704970415,0.006027494459786849,mths_since_last_record,0.06105510766702674,0.008836201438500352,True,数值
0,23701,1772,21929,0.07476477785747437,-0.11317880533550369,0.001207915046864169,open_acc,0.09885013367143936,0.0026503726832082966,True,数值
1,75471,6047,69424,0.08012349114229307,-0.03814804352841279,0.0004508466131239716,open_acc,0.3147680873514704,0.0026503726832082966,True,数值
2,81260,6896,74364,0.08486340142751661,0.024491883829927258,0.00020538483423777494,open_acc,0.33891236075022835,0.0026503726832082966,True,数值
3,37780,3295,34485,0.08721545791424033,0.0544040253077221,0.00047708041528215963,open_acc,0.15756964052601066,0.0026503726832082966,True,数值
4,21555,1886,19669,0.08749710044073301,0.05793669618001641,0.00030914577370022166,open_acc,0.08989977770085124,0.0026503726832082966,True,数值
0,193288,15418,177870,0.07976697984354952,-0.04299498411380954,0.0014637521545473892,pub_rec,0.8061493032819362,0.0070472697456040465,True,数值
1,46479,4478,42001,0.09634458572688741,0.16400539488933363,0.005583517591056657,pub_rec,0.1938506967180638,0.0070472697456040465,True,数值
0,23954,2282,21672,0.09526592635885447,0.15155345089359593,0.0024444866062783457,revol_bal,0.09990532475278083,0.00918763621761063,True,数值
1,28339,2483,25856,0.08761777056353436,0.05944712842385081,0.00042818147770669974,revol_bal,0.11819391325745411,0.00918763621761063,True,数值
2,48703,4117,44586,0.08453278032154077,0.020227138620886407,8.381063526566184e-05,revol_bal,0.20312636851610105,0.00918763621761063,True,数值
3,115635,9516,106119,0.08229342327150084,-0.009064209253538338,3.947464761292102e-05,revol_bal,0.4822807141933627,0.00918763621761063,True,数值
4,23136,1498,21638,0.06474757952973721,-0.26779783893384795,0.006191682850747001,revol_bal,0.0964936792803013,0.00918763621761063,True,数值
-1,156,15,141,0.09615384615384616,0.16181261496054783,1.822580738533969e-05,revol_util,0.0006506316548982971,0.010711553733087825,True,数值
0,58736,4176,54560,0.07109779351675292,-0.16742485871836293,0.0064046819362235385,revol_util,0.2449711595006819,0.010711553733087825,True,数值
1,35538,2802,32736,0.07884517980752997,-0.05561963761789464,0.0004480147345520304,revol_util,0.14821889584471593,0.010711553733087825,True,数值
2,132153,11643,120510,0.08810242673265078,0.06549470825208456,0.002429781231855672,revol_util,0.5511725967293247,0.010711553733087825,True,数值
3,13184,1260,11924,0.09557038834951456,0.15508084938406763,0.0014108500230712452,revol_util,0.05498671627037916,0.010711553733087825,True,数值
