变量,IRLS系数,lbfgs系数,绝对差,相对差
const,-2.404944,-2.404944,0.0,0.0
acc_open_past_24mths,0.496285,0.496285,0.0,0.0
fico_range_low,0.456957,0.456957,0.0,0.0
verification_status,0.521792,0.521792,0.0,0.0
mths_since_rcnt_il,0.451649,0.451649,0.0,0.0
dti,0.70639,0.70639,0.0,0.0
inq_last_12m,0.158318,0.158318,0.0,0.0
inq_last_6mths,0.499058,0.499057,1e-06,2e-06
bc_open_to_buy,0.377163,0.377163,0.0,0.0
tot_hi_cred_lim,0.486446,0.486446,0.0,0.0
mths_since_recent_bc,0.471478,0.471478,0.0,0.0
all_util,0.254459,0.254459,0.0,0.0
inq_fi,0.283075,0.283075,0.0,0.0
home_ownership,0.492956,0.492956,0.0,0.0
annual_inc,0.365831,0.365831,0.0,0.0
mo_sin_old_rev_tl_op,0.32818,0.32818,0.0,0.0
addr_state,0.982055,0.982056,1e-06,1e-06
