变量,箱号,箱区间,占比,坏账率,WOE,系数,该箱得分,基准分
acc_open_past_24mths,0,"(-inf, 2.5]",0.2663,0.0539,-0.4627,0.4963,6.63,556.51
acc_open_past_24mths,1,"(2.5, 3.5]",0.1466,0.0673,-0.2261,0.4963,3.24,556.51
acc_open_past_24mths,2,"(3.5, 4.5]",0.137,0.0799,-0.0411,0.4963,0.59,556.51
acc_open_past_24mths,3,"(4.5, 6.5]",0.2106,0.0929,0.1243,0.4963,-1.78,556.51
acc_open_past_24mths,4,"(6.5, 9.5]",0.1596,0.108,0.2913,0.4963,-4.17,556.51
acc_open_past_24mths,5,"(9.5, inf]",0.08,0.1375,0.5665,0.4963,-8.11,556.51
fico_range_low,0,"(-inf, 677.5]",0.3575,0.1071,0.2817,0.457,-3.71,556.51
fico_range_low,1,"(677.5, 692.5]",0.2077,0.0897,0.0853,0.457,-1.12,556.51
fico_range_low,2,"(692.5, 707.5]",0.1569,0.0746,-0.1153,0.457,1.52,556.51
fico_range_low,3,"(707.5, 722.5]",0.1111,0.0617,-0.3185,0.457,4.2,556.51
fico_range_low,4,"(722.5, 747.5]",0.0909,0.0526,-0.4879,0.457,6.43,556.51
fico_range_low,5,"(747.5, inf]",0.0759,0.0357,-0.8928,0.457,11.77,556.51
verification_status,0,Not Verified,0.2788,0.0544,-0.4522,0.5218,6.81,556.51
verification_status,1,Source Verified,0.4349,0.0841,0.0141,0.5218,-0.21,556.51
verification_status,2,Verified,0.2863,0.1091,0.303,0.5218,-4.56,556.51
mths_since_rcnt_il,-1,缺失,0.0311,0.0831,0.002,0.4516,-0.03,556.51
mths_since_rcnt_il,0,"(-inf, 2.5]",0.0546,0.1215,0.4243,0.4516,-5.53,556.51
mths_since_rcnt_il,1,"(2.5, 4.5]",0.088,0.1122,0.3342,0.4516,-4.36,556.51
mths_since_rcnt_il,2,"(4.5, 10.5]",0.2517,0.0987,0.1905,0.4516,-2.48,556.51
mths_since_rcnt_il,3,"(10.5, 13.5]",0.1097,0.0822,-0.0104,0.4516,0.14,556.51
mths_since_rcnt_il,4,"(13.5, 17.5]",0.1091,0.0741,-0.1232,0.4516,1.61,556.51
mths_since_rcnt_il,5,"(17.5, inf]",0.356,0.0617,-0.3191,0.4516,4.16,556.51
dti,-1,缺失,0.0001,0.0303,-1.0632,0.7064,21.67,556.51
dti,0,"(-inf, 15.09]",0.3827,0.0644,-0.2729,0.7064,5.56,556.51
dti,1,"(15.09, 21.78]",0.273,0.0782,-0.0652,0.7064,1.33,556.51
dti,2,"(21.78, 24.64]",0.0967,0.0931,0.1256,0.7064,-2.56,556.51
dti,3,"(24.64, 28.71]",0.1122,0.1037,0.2459,0.7064,-5.01,556.51
dti,4,"(28.71, 33.28]",0.0842,0.1155,0.3668,0.7064,-7.48,556.51
dti,5,"(33.28, inf]",0.051,0.1297,0.499,0.7064,-10.17,556.51
inq_last_12m,-1,缺失,0.0001,0.125,0.4566,0.1583,-2.09,556.51
inq_last_12m,0,"(-inf, 0.5]",0.2712,0.0609,-0.3327,0.1583,1.52,556.51
inq_last_12m,1,"(0.5, 1.5]",0.2413,0.0747,-0.1144,0.1583,0.52,556.51
inq_last_12m,2,"(1.5, 2.5]",0.1721,0.0868,0.049,0.1583,-0.22,556.51
inq_last_12m,3,"(2.5, 3.5]",0.1131,0.0935,0.131,0.1583,-0.6,556.51
inq_last_12m,4,"(3.5, 6.5]",0.1469,0.1071,0.2816,0.1583,-1.29,556.51
inq_last_12m,5,"(6.5, inf]",0.0554,0.1298,0.4999,0.1583,-2.28,556.51
inq_last_6mths,0,"(-inf, 0.5]",0.6162,0.0702,-0.181,0.4991,2.61,556.51
inq_last_6mths,1,"(0.5, 1.5]",0.2606,0.0936,0.1324,0.4991,-1.91,556.51
inq_last_6mths,2,"(1.5, inf]",0.1232,0.1244,0.4509,0.4991,-6.49,556.51
bc_open_to_buy,-1,缺失,0.0116,0.0948,0.1457,0.3772,-1.59,556.51
bc_open_to_buy,0,"(-inf, 151.5]",0.0504,0.1058,0.2679,0.3772,-2.92,556.51
bc_open_to_buy,1,"(151.5, 4004]",0.3832,0.0947,0.145,0.3772,-1.58,556.51
bc_open_to_buy,2,"(4004, 8642]",0.2058,0.0867,0.0478,0.3772,-0.52,556.51
bc_open_to_buy,3,"(8642, 1.272e+04]",0.1007,0.0778,-0.0698,0.3772,0.76,556.51
bc_open_to_buy,4,"(1.272e+04, 2.784e+04]",0.1572,0.0654,-0.2579,0.3772,2.81,556.51
bc_open_to_buy,5,"(2.784e+04, inf]",0.0911,0.0473,-0.601,0.3772,6.54,556.51
tot_hi_cred_lim,0,"(-inf, 9.454e+04]",0.4832,0.0967,0.168,0.4864,-2.36,556.51
tot_hi_cred_lim,1,"(9.454e+04, 1.79e+05]",0.1723,0.0839,0.0124,0.4864,-0.17,556.51
tot_hi_cred_lim,2,"(1.79e+05, 2.743e+05]",0.1417,0.0693,-0.1955,0.4864,2.74,556.51
tot_hi_cred_lim,3,"(2.743e+05, 4.062e+05]",0.1135,0.0626,-0.3045,0.4864,4.27,556.51
tot_hi_cred_lim,4,"(4.062e+05, inf]",0.0893,0.0546,-0.4482,0.4864,6.29,556.51
mths_since_recent_bc,-1,缺失,0.0109,0.0937,0.1327,0.4715,-1.81,556.51
mths_since_recent_bc,0,"(-inf, 2.5]",0.0909,0.1072,0.2829,0.4715,-3.85,556.51
mths_since_recent_bc,1,"(2.5, 4.5]",0.105,0.0969,0.1704,0.4715,-2.32,556.51
mths_since_recent_bc,2,"(4.5, 20.5]",0.4534,0.088,0.0642,0.4715,-0.87,556.51
mths_since_recent_bc,3,"(20.5, 33.5]",0.1432,0.0732,-0.1363,0.4715,1.85,556.51
mths_since_recent_bc,4,"(33.5, 57.5]",0.1001,0.0657,-0.2518,0.4715,3.42,556.51
mths_since_recent_bc,5,"(57.5, inf]",0.0965,0.0527,-0.4866,0.4715,6.62,556.51
all_util,-1,缺失,0.0002,0.093,0.1253,0.2545,-0.92,556.51
all_util,0,"(-inf, 42.5]",0.2062,0.0596,-0.3562,0.2545,2.61,556.51
all_util,1,"(42.5, 49.5]",0.0994,0.0718,-0.1572,0.2545,1.15,556.51
all_util,2,"(49.5, 57.5]",0.1362,0.0791,-0.052,0.2545,0.38,556.51
all_util,3,"(57.5, 65.5]",0.1527,0.0874,0.0564,0.2545,-0.41,556.51
all_util,4,"(65.5, 77.5]",0.2106,0.0932,0.127,0.2545,-0.93,556.51
all_util,5,"(77.5, inf]",0.1947,0.1017,0.224,0.2545,-1.64,556.51
inq_fi,-1,缺失,0.0001,0.125,0.4566,0.2831,-3.73,556.51
inq_fi,0,"(-inf, 0.5]",0.5417,0.072,-0.1542,0.2831,1.26,556.51
inq_fi,1,"(0.5, 1.5]",0.2303,0.0851,0.0279,0.2831,-0.23,556.51
inq_fi,2,"(1.5, 2.5]",0.1129,0.0967,0.1677,0.2831,-1.37,556.51
inq_fi,3,"(2.5, 3.5]",0.0553,0.106,0.2704,0.2831,-2.21,556.51
inq_fi,4,"(3.5, inf]",0.0596,0.1273,0.4776,0.2831,-3.9,556.51
home_ownership,0,MORTGAGE,0.4578,0.0686,-0.2065,0.493,2.94,556.51
home_ownership,1,OWN,0.127,0.0847,0.023,0.493,-0.33,556.51
home_ownership,2,ANY / RENT,0.4152,0.0983,0.1867,0.493,-2.66,556.51
annual_inc,0,"(-inf, 3.086e+04]",0.0855,0.11,0.3117,0.3658,-3.29,556.51
annual_inc,1,"(3.086e+04, 3.877e+04]",0.0775,0.102,0.227,0.3658,-2.4,556.51
annual_inc,2,"(3.877e+04, 5e+04]",0.1376,0.0921,0.1137,0.3658,-1.2,556.51
annual_inc,3,"(5e+04, 6.5e+04]",0.2271,0.0856,0.0343,0.3658,-0.36,556.51
annual_inc,4,"(6.5e+04, 1.027e+05]",0.2894,0.0756,-0.1017,0.3658,1.07,556.51
annual_inc,5,"(1.027e+05, inf]",0.183,0.0639,-0.2811,0.3658,2.97,556.51
mo_sin_old_rev_tl_op,0,"(-inf, 56.5]",0.0778,0.1153,0.3645,0.3282,-3.45,556.51
mo_sin_old_rev_tl_op,1,"(56.5, 88.5]",0.0715,0.0999,0.2046,0.3282,-1.94,556.51
mo_sin_old_rev_tl_op,2,"(88.5, 143.5]",0.2619,0.091,0.1015,0.3282,-0.96,556.51
mo_sin_old_rev_tl_op,3,"(143.5, 162.5]",0.0884,0.0829,-0.0004,0.3282,0.0,556.51
mo_sin_old_rev_tl_op,4,"(162.5, 190.5]",0.1164,0.0767,-0.0854,0.3282,0.81,556.51
mo_sin_old_rev_tl_op,5,"(190.5, inf]",0.384,0.0697,-0.1888,0.3282,1.79,556.51
addr_state,0,DC / ME / MT / NH / OR / VT,0.0259,0.0488,-0.5666,0.9821,16.06,556.51
addr_state,1,CT / KS / RI / SC / WI / WY,0.0556,0.0594,-0.3597,0.9821,10.19,556.51
addr_state,2,CO / DE / GA / IL,0.0964,0.0711,-0.1672,0.9821,4.74,556.51
addr_state,3,IN / KY / MA / MI / MO / NC / ND / NJ / NM / PA / SD / TN / TX / UT / VA / WA / WV,0.3523,0.0812,-0.023,0.9821,0.65,556.51
addr_state,4,AK / AZ / CA / FL / HI / ID / MD / MN / MS / NE / NY / OH,0.4151,0.0901,0.0901,0.9821,-2.55,556.51
addr_state,5,AL / AR / LA / NV / OK,0.0547,0.1012,0.2184,0.9821,-6.19,556.51
