变量,CSI_训练vs OOT,入模,IV
verification_status,0.022,True,0.0772
all_util,0.0137,True,0.04
open_il_12m,0.0133,False,0.0654
il_util,0.0119,False,0.0424
open_acc_6m,0.0102,False,0.0503
bc_open_to_buy,0.0099,True,0.0489
loan_amnt,0.0097,False,0.0071
mo_sin_old_rev_tl_op,0.0091,True,0.0316
fico_range_high,0.009,False,0.1051
fico_range_low,0.009,True,0.1051
mths_since_last_record,0.008,False,0.0088
bc_util,0.0079,False,0.0135
num_tl_op_past_12m,0.0073,False,0.0853
mths_since_rcnt_il,0.0067,True,0.0662
percent_bc_gt_75,0.0066,False,0.0175
mo_sin_rcnt_tl,0.0063,False,0.0503
mort_acc,0.0061,False,0.0335
revol_util,0.0061,False,0.0107
open_rv_12m,0.0048,False,0.0399
open_rv_24m,0.0048,False,0.0699
open_il_24m,0.0047,False,0.0592
num_bc_tl,0.0042,False,0.0008
inq_last_12m,0.0042,True,0.0618
mo_sin_rcnt_rev_tl_op,0.0041,False,0.0395
total_bc_limit,0.004,False,0.0412
mths_since_recent_inq,0.0036,False,0.0589
dti,0.0032,True,0.0646
inq_fi,0.0031,True,0.0368
inq_last_6mths,0.003,True,0.0538
acc_open_past_24mths,0.0029,True,0.1053
mths_since_recent_bc,0.0029,True,0.0405
emp_length_num,0.0029,False,0.0199
credit_hist_mths,0.0027,False,0.0197
total_cu_tl,0.0025,False,0.0018
total_acc,0.0024,False,0.0002
total_bal_il,0.0023,False,0.0055
open_act_il,0.0022,False,0.0058
max_bal_bc,0.0022,False,0.0224
mo_sin_old_il_acct,0.0021,False,0.0148
purpose,0.0018,False,0.0184
num_rev_tl_bal_gt_0,0.0018,False,0.0091
total_rev_hi_lim,0.0018,False,0.0324
num_rev_accts,0.0018,False,0.0
mths_since_recent_bc_dlq,0.0017,False,0.0005
num_actv_rev_tl,0.0014,False,0.0097
mths_since_recent_revol_delinq,0.0013,False,0.0002
mths_since_last_delinq,0.0013,False,0.0007
pub_rec,0.0012,False,0.007
avg_cur_bal,0.0011,False,0.0419
open_acc,0.001,False,0.0027
revol_bal,0.001,False,0.0092
mths_since_last_major_derog,0.001,False,0.0036
num_sats,0.0009,False,0.0025
total_bal_ex_mort,0.0008,False,0.0011
num_op_rev_tl,0.0008,False,0.0036
annual_inc,0.0006,True,0.0317
tot_hi_cred_lim,0.0006,True,0.0438
tot_cur_bal,0.0006,False,0.0333
home_ownership,0.0006,True,0.0336
num_bc_sats,0.0003,False,0.0013
num_accts_ever_120_pd,0.0003,False,0.0
delinq_2yrs,0.0002,False,0.0008
tot_coll_amt,0.0002,False,0.002
num_actv_bc_tl,0.0002,False,0.0036
num_il_tl,0.0002,False,0.0009
pct_tl_nvr_dlq,0.0002,False,0.0002
addr_state,0.0002,True,0.0218
num_tl_90g_dpd_24m,0.0001,False,0.0008
total_il_high_credit_limit,0.0001,False,0.0012
pub_rec_bankruptcies,0.0,False,0.0069
