模型,样本,样本量,坏客户率,KS,AUC,Gini
A 评分卡(LR+WOE),训练,239767,0.083,0.2496,0.6723,0.3445
A 评分卡(LR+WOE),测试,79923,0.083,0.2521,0.6729,0.3458
A 评分卡(LR+WOE),OOT,234575,0.077,0.2473,0.669,0.338
B XGBoost(原始变量),训练,239767,0.083,0.3574,0.7438,0.4876
B XGBoost(原始变量),测试,79923,0.083,0.3064,0.709,0.4181
B XGBoost(原始变量),OOT,234575,0.077,0.3003,0.7069,0.4139
C XGBoost(WOE变量),训练,239767,0.083,0.3393,0.7326,0.4651
C XGBoost(WOE变量),测试,79923,0.083,0.3016,0.7058,0.4117
C XGBoost(WOE变量),OOT,234575,0.077,0.2925,0.7022,0.4045
D 评分卡+LC定价变量,训练,239767,0.083,0.3074,0.7103,0.4206
D 评分卡+LC定价变量,测试,79923,0.083,0.3077,0.7102,0.4203
D 评分卡+LC定价变量,OOT,234575,0.077,0.3042,0.7077,0.4154
