下界,上界,人数,坏客户,本档坏账率,累计人数,累计坏客户,通过率,累计坏账率
586.5329543791106,638.73174836476,7993,166,0.020768172150631804,7993,166,0.10000875842998887,0.020768172150631804
577.5829357498029,586.5321568278473,7992,249,0.031156156156156155,15985,415,0.20000500481713648,0.025961839224272757
570.9984356595135,577.5824787295321,7992,382,0.047797797797797796,23977,797,0.3000012512042841,0.033240188513992575
565.6934248699504,570.9972955421536,7992,496,0.062062062062062065,31969,1293,0.39999749759143177,0.040445431511777034
560.7113439481825,565.6929558817435,7992,529,0.06619119119119118,39961,1822,0.4999937439785794,0.045594454593228396
555.9632024623947,560.7107670835277,7993,629,0.07869385712498436,47954,2451,0.6000025024085682,0.05111148183676023
550.8851060281636,555.9626650229773,7992,783,0.09797297297297297,55946,3234,0.6999987487957159,0.057805741250491545
544.9888809809261,550.8848604015525,7992,857,0.10723223223223223,63938,4091,0.7999949951828635,0.06398385936375864
537.4313021721046,544.9876855692628,7992,1083,0.13551051051051052,71930,5174,0.8999912415700111,0.07193104407062421
497.697665781965,537.4312532536671,7993,1458,0.18240960840735643,79923,6632,1.0,0.08297986812306846
