下界,上界,人数,坏客户,本档坏账率,累计人数,累计坏客户,通过率,累计坏账率
588.5363092556395,642.6419412755909,23458,439,0.01871429789410862,23458,439,0.10000213151444101,0.01871429789410862
579.5760092633675,588.5360535244265,23457,799,0.034062326810760116,46915,1238,0.2,0.026388148779707982
573.1667133262825,579.5759874256863,23458,992,0.042288345127461845,70373,2230,0.300002131514441,0.03168828954286445
567.8504067735159,573.1666582912776,23457,1246,0.05311847209788123,93830,3476,0.4,0.037045720984759674
562.9609626851761,567.8497153795349,23457,1514,0.06454363303065183,117287,4990,0.499997868485559,0.04254520961402372
558.1440676850592,562.9607763530219,23458,1769,0.07541137351862903,140745,6759,0.6,0.04802302035596291
553.1419780733902,558.1437051411517,23457,2088,0.08901394040158588,164202,8847,0.699997868485559,0.05387875908941426
547.4358407705641,553.1417345061435,23458,2471,0.1053371983971353,187660,11318,0.8,0.06031120110838751
539.893082278662,547.4348092313988,23457,2864,0.12209574966960822,211117,14182,0.899997868485559,0.06717602087941757
500.010567145929,539.8928141618698,23458,3871,0.1650183306334726,234575,18053,1.0,0.07696046040711926
