cutoff分数,通过率,通过笔数,坏账率,放款总额,净收益,单位放款净收益,件均净收益
497.7,1.0,79923,0.083,1020333725.0,42515891.0,0.04167,531.96
526.4,0.975,77924,0.0793,1000927150.0,42566428.0,0.04253,546.26
531.2,0.95,75926,0.0764,980452475.0,42464849.0,0.04331,559.29
534.7,0.925,73928,0.0742,959805300.0,41895477.0,0.04365,566.71
537.4,0.9,71930,0.0719,938348400.0,41203640.0,0.04391,572.83
539.6,0.875,69932,0.0698,917629075.0,40608903.0,0.04425,580.69
541.5,0.85,67934,0.0681,895175975.0,39556262.0,0.04419,582.27
543.3,0.825,65936,0.066,873314800.0,39241641.0,0.04493,595.15
545.0,0.8,63938,0.064,850731400.0,38292097.0,0.04501,598.89
546.6,0.775,61940,0.0624,827851725.0,37192828.0,0.04493,600.47
548.1,0.75,59942,0.061,804690275.0,35924335.0,0.04464,599.32
549.5,0.725,57944,0.0595,781780150.0,34784204.0,0.04449,600.31
550.9,0.7,55946,0.0578,758992275.0,33800927.0,0.04453,604.17
552.2,0.675,53948,0.0564,735364900.0,32640865.0,0.04439,605.04
553.5,0.65,51950,0.0548,711930500.0,31606099.0,0.04439,608.39
554.7,0.625,49952,0.0529,687281550.0,30577382.0,0.04449,612.14
556.0,0.6,47954,0.0511,663172375.0,29615650.0,0.04466,617.58
557.2,0.575,45956,0.0502,639088500.0,28197908.0,0.04412,613.58
558.4,0.55,43958,0.0484,613973050.0,27101939.0,0.04414,616.54
559.5,0.525,41960,0.0471,589103400.0,25730971.0,0.04368,613.23
560.7,0.5,39962,0.0456,564557850.0,24597741.0,0.04357,615.53
562.0,0.475,37963,0.0443,539545000.0,23349862.0,0.04328,615.07
563.2,0.45,35965,0.0438,514334300.0,21704048.0,0.0422,603.48
564.4,0.425,33967,0.0419,488545800.0,20645097.0,0.04226,607.8
565.7,0.4,31969,0.0404,462167100.0,19337170.0,0.04184,604.87
566.9,0.375,29971,0.0385,436615725.0,18310965.0,0.04194,610.96
568.2,0.35,27973,0.0368,410467450.0,16974065.0,0.04135,606.8
569.6,0.325,25975,0.0349,383484950.0,15837379.0,0.0413,609.72
571.0,0.3,23977,0.0332,356281550.0,14529436.0,0.04078,605.97
572.5,0.275,21979,0.032,328442600.0,12990005.0,0.03955,591.02
574.1,0.25,19981,0.03,299870900.0,11658362.0,0.03888,583.47
575.8,0.225,17983,0.0279,271884450.0,10429356.0,0.03836,579.96
577.6,0.2,15985,0.026,243067375.0,9053062.0,0.03725,566.35
579.4,0.175,13987,0.0247,214777700.0,7542345.0,0.03512,539.24
581.5,0.15,11989,0.0231,185687725.0,6279786.0,0.03382,523.8
583.8,0.125,9991,0.0225,156245350.0,4862788.0,0.03112,486.72
586.5,0.1,7993,0.0208,126658200.0,3644755.0,0.02878,455.99
589.8,0.075,5995,0.0182,95755000.0,2594508.0,0.0271,432.78
593.9,0.05,3997,0.016,63995625.0,1480396.0,0.02313,370.38
600.3,0.025,1999,0.0145,32343950.0,583329.0,0.01804,291.81
