月份,笔数,分数均值,分数PSI,PSI判定,最大CSI,最大CSI变量,CSI判定,建议动作
2017-10,26889,565.5,0.0512,正常,0.0927,verification_status,正常,正常：保持月度监控
2017-11,29656,566.37,0.0748,正常,0.1182,verification_status,关注,关注：加密到每周监控，同时检查审批率与通过客户结构是否同步变化
2017-12,26132,566.45,0.0785,正常,0.1133,fico_range_low,关注,关注：加密到每周监控，同时检查审批率与通过客户结构是否同步变化
2018-01,25413,567.82,0.1208,关注,0.1474,fico_range_low,关注,关注：加密到每周监控，同时检查审批率与通过客户结构是否同步变化
2018-02,22846,566.86,0.0878,正常,0.1254,fico_range_low,关注,关注：加密到每周监控，同时检查审批率与通过客户结构是否同步变化
2018-03,27153,566.58,0.0782,正常,0.1287,fico_range_low,关注,关注：加密到每周监控，同时检查审批率与通过客户结构是否同步变化
2018-04,29972,566.12,0.0651,正常,0.1056,fico_range_low,关注,关注：加密到每周监控，同时检查审批率与通过客户结构是否同步变化
2018-05,32472,565.84,0.0594,正常,0.1029,verification_status,关注,关注：加密到每周监控，同时检查审批率与通过客户结构是否同步变化
2018-06,29062,566.37,0.0765,正常,0.1044,verification_status,关注,关注：加密到每周监控，同时检查审批率与通过客户结构是否同步变化
2018-07,30478,566.4,0.0818,正常,0.1178,verification_status,关注,关注：加密到每周监控，同时检查审批率与通过客户结构是否同步变化
2018-08,32329,566.67,0.0902,正常,0.1052,verification_status,关注,关注：加密到每周监控，同时检查审批率与通过客户结构是否同步变化
2018-09,26767,566.81,0.0973,正常,0.1266,verification_status,关注,关注：加密到每周监控，同时检查审批率与通过客户结构是否同步变化
2018-10,31811,566.92,0.1021,关注,0.1902,verification_status,关注,关注：加密到每周监控，同时检查审批率与通过客户结构是否同步变化
2018-11,28827,566.61,0.0977,正常,0.239,verification_status,关注,关注：加密到每周监控，同时检查审批率与通过客户结构是否同步变化
2018-12,27541,566.79,0.1047,关注,0.2728,verification_status,报警,单变量漂移超阈：核查该变量的数据源与采集口径，必要时剔除该变量重训
