月份,笔数,坏客户率,KS,KS相对建模期衰减,分数PSI,最大CSI,KS判定,建议动作
2016-01,22675,0.0725,0.2778,-0.1129,0.0141,0.0329,正常,正常：保持月度监控
2016-02,28609,0.0768,0.2786,-0.1162,0.0049,0.012,正常,正常：保持月度监控
2016-03,44836,0.0816,0.2801,-0.1221,0.0028,0.0182,正常,正常：保持月度监控
2016-04,28106,0.0869,0.2709,-0.0853,0.0019,0.0217,正常,正常：保持月度监控
2016-05,21831,0.0914,0.2441,0.0218,0.0054,0.0181,正常,正常：保持月度监控
2016-06,24600,0.077,0.2375,0.0485,0.0022,0.0551,正常,正常：保持月度监控
2016-07,25375,0.0887,0.2344,0.061,0.0087,0.0278,正常,正常：保持月度监控
2016-08,27181,0.0884,0.2372,0.0499,0.0053,0.0309,正常,正常：保持月度监控
2016-09,21342,0.0841,0.2265,0.0927,0.0013,0.0224,正常,正常：保持月度监控
2016-10,24746,0.077,0.2247,0.0997,0.0032,0.0172,正常,正常：保持月度监控
2016-11,26209,0.0777,0.2454,0.0169,0.0029,0.0127,正常,正常：保持月度监控
2016-12,27985,0.0823,0.2212,0.1137,0.0011,0.0125,关注,效果衰减进入关注区：排查最近的政策/渠道变更，准备重训样本
2017-01,24152,0.0739,0.257,-0.0295,0.0076,0.0122,正常,正常：保持月度监控
2017-02,20453,0.0729,0.2399,0.039,0.0121,0.0114,正常,正常：保持月度监控
2017-03,27805,0.0688,0.2436,0.024,0.0196,0.0188,正常,正常：保持月度监控
2017-04,21864,0.0783,0.2693,-0.0791,0.0155,0.0185,正常,正常：保持月度监控
2017-05,27456,0.0806,0.2341,0.0621,0.0099,0.0155,正常,正常：保持月度监控
2017-06,27785,0.076,0.2637,-0.0566,0.0157,0.0295,正常,正常：保持月度监控
2017-07,28738,0.0768,0.2708,-0.0849,0.0161,0.0566,正常,正常：保持月度监控
2017-08,32595,0.0753,0.2307,0.0757,0.0205,0.0494,正常,正常：保持月度监控
2017-09,26894,0.0806,0.2371,0.0503,0.0174,0.056,正常,正常：保持月度监控
